Date,Name,Year,Letterboxd URI,Rating
2022-12-30,Parasite,2019,https://boxd.it/hTha,4
2022-12-30,Joker,2019,https://boxd.it/h4cS,5
2022-12-30,Fight Club,1999,https://boxd.it/2a9q,5
2022-12-30,The Batman,2022,https://boxd.it/eDGs,4
2022-12-30,Pulp Fiction,1994,https://boxd.it/29Pq,5
2022-12-30,Get Out,2017,https://boxd.it/eOCm,3
2022-12-30,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,4
2022-12-30,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,4
2022-12-30,The Dark Knight,2008,https://boxd.it/2b0k,5
2022-12-30,Whiplash,2014,https://boxd.it/7bQA,5
2022-12-30,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,5
2022-12-30,Dune,2021,https://boxd.it/fA7G,3
2022-12-30,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,4
2022-12-30,The Shining,1980,https://boxd.it/29Nu,4
2022-12-30,American Psycho,2000,https://boxd.it/28Vs,5
2022-12-30,The Wolf of Wall Street,2013,https://boxd.it/3C1m,5
2022-12-30,Avengers: Infinity War,2018,https://boxd.it/9vEe,5
2022-12-30,Inglourious Basterds,2009,https://boxd.it/1JzG,4
2022-12-30,Avengers: Endgame,2019,https://boxd.it/9vE4,4
2022-12-30,The Truman Show,1998,https://boxd.it/18U8,5
2022-12-30,Black Panther,2018,https://boxd.it/8MHs,4
2022-12-30,Baby Driver,2017,https://boxd.it/bhF2,5
2022-12-30,The Social Network,2010,https://boxd.it/17ue,4
2022-12-30,Django Unchained,2012,https://boxd.it/2cCk,5
2022-12-30,The Matrix,1999,https://boxd.it/2a1m,4
2022-12-30,Forrest Gump,1994,https://boxd.it/728,2
2022-12-30,The Godfather,1972,https://boxd.it/2aNK,4
2022-12-30,Kill Bill: Vol. 1,2003,https://boxd.it/70w,5
2022-12-30,Call Me by Your Name,2017,https://boxd.it/dYmm,4
2022-12-30,Taxi Driver,1976,https://boxd.it/2b8y,3
2022-12-30,Don't Look Up,2021,https://boxd.it/o0Hc,4
2022-12-30,Shutter Island,2010,https://boxd.it/1U82,5
2022-12-30,Uncut Gems,2019,https://boxd.it/gXGc,5
2022-12-30,Blade Runner 2049,2017,https://boxd.it/b8wK,4
2022-12-30,Soul,2020,https://boxd.it/ioLA,5
2022-12-30,Coco,2017,https://boxd.it/bYJQ,4
2022-12-30,Ratatouille,2007,https://boxd.it/27ww,5
2022-12-30,Star Wars,1977,https://boxd.it/72s,5
2022-12-30,Deadpool,2016,https://boxd.it/9fOC,4
2022-12-30,The Avengers,2012,https://boxd.it/1xFW,4
2022-12-30,Inside Out,2015,https://boxd.it/4KHC,4
2022-12-30,Drive,2011,https://boxd.it/IG,4
2022-12-30,Back to the Future,1985,https://boxd.it/2b8e,4
2022-12-30,GoodFellas,1990,https://boxd.it/29FA,5
2022-12-30,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8,5
2022-12-30,Nightcrawler,2014,https://boxd.it/780m,3
2022-12-30,Up,2009,https://boxd.it/1OEc,5
2022-12-30,The Empire Strikes Back,1980,https://boxd.it/27Vw,5
2022-12-30,Tenet,2020,https://boxd.it/leq4,4
2022-12-30,WALL·E,2008,https://boxd.it/1VEo,4
2022-12-30,No Country for Old Men,2007,https://boxd.it/21ew,3
2022-12-30,Captain America: Civil War,2016,https://boxd.it/89Ja,5
2022-12-30,Star Wars: The Force Awakens,2015,https://boxd.it/4vru,3
2022-12-30,Iron Man,2008,https://boxd.it/28dA,4
2022-12-30,Avatar,2009,https://boxd.it/1Efm,3
2022-12-30,10 Things I Hate About You,1999,https://boxd.it/23AO,5
2022-12-30,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,4
2022-12-30,The Breakfast Club,1985,https://boxd.it/27q4,4
2022-12-30,Jurassic Park,1993,https://boxd.it/2aA2,3
2022-12-30,Spider-Man,2002,https://boxd.it/2a8i,4
2022-12-30,Blade Runner,1982,https://boxd.it/2bcA,5
2022-12-30,Titanic,1997,https://boxd.it/2a2k,4
2022-12-30,Zodiac,2007,https://boxd.it/27MO,4
2022-12-30,Toy Story,1995,https://boxd.it/29qA,4
2022-12-30,Reservoir Dogs,1992,https://boxd.it/2agc,5
2022-12-30,The Incredibles,2004,https://boxd.it/1XLm,5
2022-12-30,The Dark Knight Rises,2012,https://boxd.it/H3m,3
2022-12-30,Star Wars: The Last Jedi,2017,https://boxd.it/5xme,4
2022-12-30,Black Widow,2021,https://boxd.it/hWV8,1
2022-12-30,Avengers: Age of Ultron,2015,https://boxd.it/3qi6,4
2022-12-30,Finding Nemo,2003,https://boxd.it/72i,5
2022-12-30,Spider-Man 2,2004,https://boxd.it/2a88,3
2022-12-30,(500) Days of Summer,2009,https://boxd.it/1EmM,5
2024-02-18,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,5
2024-02-18,La La Land,2016,https://boxd.it/a5fa,5
2024-02-18,Interstellar,2014,https://boxd.it/4VZ8,5
2024-02-18,Midsommar,2019,https://boxd.it/jhxe,4
2024-02-18,Se7en,1995,https://boxd.it/29zs,3.5
2024-02-18,Donnie Darko,2001,https://boxd.it/2b2A,5
2024-02-18,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,5
2024-02-18,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,4.5
2024-02-18,A Clockwork Orange,1971,https://boxd.it/2aVE,5
2024-02-18,Memento,2000,https://boxd.it/2bcK,3
2024-02-18,Little Miss Sunshine,2006,https://boxd.it/29EW,5
2024-02-18,My Neighbor Totoro,1988,https://boxd.it/20eA,3.5
2024-02-18,American Beauty,1999,https://boxd.it/71Y,4.5
2024-02-18,Saltburn,2023,https://boxd.it/z4eg,3.5
2024-02-18,Heat,1995,https://boxd.it/2bg8,5
2024-02-26,Cinema Paradiso,1988,https://boxd.it/1UlA,5
2024-03-03,The Great Gatsby,2013,https://boxd.it/JY,4
2024-03-03,Pusher II,2004,https://boxd.it/1U7y,5
2024-03-11,Dune: Part Two,2024,https://boxd.it/pUfA,5
2024-03-11,Her,2013,https://boxd.it/4O24,4
2024-03-12,Normal People,2020,https://boxd.it/q2VY,4.5
2024-03-12,Oppenheimer,2023,https://boxd.it/wUow,5
2024-03-13,Natural Born Killers,1994,https://boxd.it/2aNg,4
2024-03-17,From Dusk Till Dawn,1996,https://boxd.it/29HQ,3.5
2024-03-18,Dream Scenario,2023,https://boxd.it/v2h0,3.5
2024-03-19,Good Time,2017,https://boxd.it/fcFu,4
2024-03-19,Trainspotting,1996,https://boxd.it/29XY,5
2024-03-24,Ghost Dog: The Way of the Samurai,1999,https://boxd.it/23Ne,3.5
2024-03-24,The Passenger,1975,https://boxd.it/1Y8q,4
2024-03-26,Swingers,1996,https://boxd.it/1WNc,4.5
2024-03-26,Ex Machina,2015,https://boxd.it/7T2k,4
2024-03-26,Chinatown,1974,https://boxd.it/29vU,4
2024-03-26,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA,4
2024-03-26,Raging Bull,1980,https://boxd.it/28yI,4
2024-03-26,Tropic Thunder,2008,https://boxd.it/20WM,4.5
2024-03-26,Psycho,1960,https://boxd.it/2ab2,3.5
2024-03-26,Eyes Wide Shut,1999,https://boxd.it/2axs,4
2024-03-26,Fallen Angels,1995,https://boxd.it/1UkW,3.5
2024-03-26,The Departed,2006,https://boxd.it/28MA,4.5
2024-03-26,Good Will Hunting,1997,https://boxd.it/2ahY,5
2024-03-26,The Big Lebowski,1998,https://boxd.it/2b6C,4
2024-03-26,Fargo,1996,https://boxd.it/2aHM,4
2024-03-26,Kill Bill: Vol. 2,2004,https://boxd.it/2au4,5
2024-03-26,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/1RYk,4
2024-03-26,The Hangover,2009,https://boxd.it/1GjK,4
2024-03-26,Hacksaw Ridge,2016,https://boxd.it/azew,3.5
2024-03-26,Forgetting Sarah Marshall,2008,https://boxd.it/1XEq,3.5
2024-03-26,Jackie Brown,1997,https://boxd.it/2aVO,3.5
2024-03-26,Death Proof,2007,https://boxd.it/27GG,4
2024-03-26,Mysterious Skin,2004,https://boxd.it/1UsG,3
2024-03-26,The Notebook,2004,https://boxd.it/1UNE,3
2024-03-26,Black Swan,2010,https://boxd.it/Sw0,4.5
2024-03-26,Casino,1995,https://boxd.it/2ads,4
2024-03-27,Road House,2024,https://boxd.it/cdzQ,2.5
2024-03-27,School of Rock,2003,https://boxd.it/28xK,5
2024-03-28,Surf's Up,2007,https://boxd.it/1YKY,5
2024-03-28,Sound of Metal,2019,https://boxd.it/i7Q4,4.5
2024-04-03,Beautiful Boy,2018,https://boxd.it/g76Q,4.5
2024-04-08,The Disaster Artist,2017,https://boxd.it/cTqc,3.5
2024-04-21,Disturbia,2007,https://boxd.it/20rk,3
2024-04-23,Honey Boy,2019,https://boxd.it/ixvm,4
2024-04-27,Challengers,2024,https://boxd.it/zld0,4
2024-04-27,Baby Reindeer,2024,https://boxd.it/MwSa,3
2024-04-28,Anyone But You,2023,https://boxd.it/EzA8,2
2024-04-29,Ronin,1998,https://boxd.it/20wa,3.5
2024-05-07,Mr. & Mrs. Smith,2005,https://boxd.it/29CG,3.5
2024-05-13,The Iron Claw,2023,https://boxd.it/w5Pm,4
2024-05-25,The Peanut Butter Falcon,2019,https://boxd.it/gzu2,5
2024-06-01,The Worst Person in the World,2021,https://boxd.it/oyws,2
2024-06-17,Spring Breakers,2012,https://boxd.it/421s,2
2024-06-17,Enter the Void,2009,https://boxd.it/1dy2,4
2024-06-17,Hit Man,2023,https://boxd.it/ANB2,4
2024-07-09,Before Sunrise,1995,https://boxd.it/2bcU,5
2024-07-11,"Paris, Texas",1984,https://boxd.it/29Ts,4
2024-07-27,Zombieland,2009,https://boxd.it/1En6,4
2024-09-17,Crash,1996,https://boxd.it/29n2,3
2024-09-25,Civil War,2024,https://boxd.it/z1jW,3
2024-09-28,A Moment of Romance,1990,https://boxd.it/2PLU,4
2024-10-04,The Devil Wears Prada,2006,https://boxd.it/2awE,3.5
2024-10-08,The Girl Next Door,2004,https://boxd.it/1VSq,4
2024-10-11,Jarhead,2005,https://boxd.it/70m,3.5
2024-10-17,Control,2007,https://boxd.it/22IC,4
2024-10-22,Wayne's World,1992,https://boxd.it/1ZHG,5
2024-10-23,Pretty Woman,1990,https://boxd.it/2b6M,4
2024-10-26,Zoolander,2001,https://boxd.it/1YMA,4
2024-11-10,Anora,2024,https://boxd.it/Egcw,3.5
2024-11-14,The Penguin,2024,https://boxd.it/QkIU,4.5
2024-11-24,"O Brother, Where Art Thou?",2000,https://boxd.it/2b3I,4.5
2024-11-24,Dead Poets Society,1989,https://boxd.it/2aSg,5
2024-11-26,Jennifer's Body,2009,https://boxd.it/1Efw,2.5
2024-11-27,White Men Can't Jump,1992,https://boxd.it/1WWy,3
2024-12-14,Midnight in Paris,2011,https://boxd.it/i4a,2
2024-12-14,Persona,1966,https://boxd.it/29B4,3.5
2024-12-16,Gladiator,2000,https://boxd.it/2b9m,5
2024-12-18,Carol,2015,https://boxd.it/7DPK,4
2024-12-19,The Holdovers,2023,https://boxd.it/vHza,4
2024-12-19,Aftersun,2022,https://boxd.it/Arw0,2
2024-12-20,Anchorman: The Legend of Ron Burgundy,2004,https://boxd.it/1ZVo,4
2024-12-20,The Dirt,2019,https://boxd.it/aGN4,3.5
2024-12-20,Waves,2019,https://boxd.it/jpmy,5
2024-12-20,Burning,2018,https://boxd.it/hHUa,2.5
2024-12-22,Molly's Game,2017,https://boxd.it/dSl8,3.5
2024-12-23,Phantom Thread,2017,https://boxd.it/e4uc,3
2024-12-25,Rounders,1998,https://boxd.it/1WMS,3.5
2024-12-25,Before Midnight,2013,https://boxd.it/4ive,3
2024-12-25,Before Sunset,2004,https://boxd.it/2bcg,5
2024-12-28,Knight of Cups,2015,https://boxd.it/34Qq,2.5
2025-01-04,All Quiet on the Western Front,2022,https://boxd.it/H08,4
2025-01-06,Inception,2010,https://boxd.it/1skk,4
2025-01-07,Notting Hill,1999,https://boxd.it/2aeK,2.5
2025-01-08,Due Date,2010,https://boxd.it/YFs,4
2025-01-09,Dallas Buyers Club,2013,https://boxd.it/4O8G,4
2025-01-10,Y Tu Mamá También,2001,https://boxd.it/28QM,4
2025-02-22,Miss Congeniality,2000,https://boxd.it/28GM,4
2025-02-23,Taken,2008,https://boxd.it/1ZXa,3.5
2025-02-27,Companion,2025,https://boxd.it/F04o,3
2025-03-11,Brokeback Mountain,2005,https://boxd.it/2b2q,4
2025-03-16,One Day,2024,https://boxd.it/L1ZM,4
2025-03-16,Sicario,2015,https://boxd.it/8i7u,4
2025-03-22,Porky's,1981,https://boxd.it/1WJa,2.5
2025-03-23,Priscilla,2023,https://boxd.it/Cz3k,3
2025-03-23,Belle de Jour,1967,https://boxd.it/29Uq,2.5
2025-03-24,A Knight's Tale,2001,https://boxd.it/1YAk,4.5
2025-03-29,Adolescence,2025,https://boxd.it/TFGw,4.5
2025-04-04,The Ultimate Gift,2006,https://boxd.it/1NIi,2
2025-04-06,Meet Joe Black,1998,https://boxd.it/2aEI,3.5
2025-04-14,Gone Girl,2014,https://boxd.it/6hQu,3.5
2025-04-20,Warfare,2025,https://boxd.it/LbRo,4
2025-04-20,A Complete Unknown,2024,https://boxd.it/oBYa,3
2025-04-21,Arrival,2016,https://boxd.it/aNGk,5
