Date,Name,Year,Letterboxd URI,Rating,Liked,High_Rating,Genre,Runtime
2022-12-30,Parasite,2019,https://boxd.it/hTha,4.0,1,1,"Drama, Thriller",132 min
2022-12-30,Joker,2019,https://boxd.it/h4cS,5.0,0,1,"Crime, Drama, Thriller",122 min
2022-12-30,Fight Club,1999,https://boxd.it/2a9q,5.0,0,1,"Crime, Drama, Thriller",139 min
2022-12-30,The Batman,2022,https://boxd.it/eDGs,4.0,0,1,"Action, Crime, Drama",176 min
2022-12-30,Pulp Fiction,1994,https://boxd.it/29Pq,5.0,0,1,"Crime, Drama",154 min
2022-12-30,Get Out,2017,https://boxd.it/eOCm,3.0,0,0,"Horror, Mystery, Thriller",104 min
2022-12-30,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,4.0,0,1,"Animation, Action, Adventure",117 min
2022-12-30,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,4.0,0,1,"Action, Adventure, Fantasy",148 min
2022-12-30,The Dark Knight,2008,https://boxd.it/2b0k,5.0,0,1,"Action, Crime, Drama",152 min
2022-12-30,Whiplash,2014,https://boxd.it/7bQA,5.0,0,1,"Drama, Music",106 min
2022-12-30,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,5.0,0,1,"Adventure, Comedy, Crime",99 min
2022-12-30,Dune,2021,https://boxd.it/fA7G,3.0,1,0,"Action, Adventure, Drama",155 min
2022-12-30,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,4.0,1,1,"Comedy, Drama",161 min
2022-12-30,The Shining,1980,https://boxd.it/29Nu,4.0,0,1,"Drama, Horror",146 min
2022-12-30,American Psycho,2000,https://boxd.it/28Vs,5.0,0,1,"Crime, Drama, Horror",102 min
2022-12-30,The Wolf of Wall Street,2013,https://boxd.it/3C1m,5.0,0,1,"Biography, Comedy, Crime",180 min
2022-12-30,Avengers: Infinity War,2018,https://boxd.it/9vEe,5.0,0,1,"Action, Adventure, Sci-Fi",149 min
2022-12-30,Inglourious Basterds,2009,https://boxd.it/1JzG,4.0,1,1,"Adventure, Drama, War",153 min
2022-12-30,Avengers: Endgame,2019,https://boxd.it/9vE4,4.0,0,1,"Action, Adventure, Sci-Fi",181 min
2022-12-30,The Truman Show,1998,https://boxd.it/18U8,5.0,0,1,"Comedy, Drama",103 min
2022-12-30,Black Panther,2018,https://boxd.it/8MHs,4.0,0,1,"Action, Adventure, Sci-Fi",134 min
2022-12-30,Baby Driver,2017,https://boxd.it/bhF2,5.0,0,1,"Action, Crime, Drama",113 min
2022-12-30,The Social Network,2010,https://boxd.it/17ue,4.0,0,1,"Biography, Drama",120 min
2022-12-30,Django Unchained,2012,https://boxd.it/2cCk,5.0,0,1,"Comedy, Drama, Western",165 min
2022-12-30,The Matrix,1999,https://boxd.it/2a1m,4.0,0,1,"Action, Sci-Fi",136 min
2022-12-30,Forrest Gump,1994,https://boxd.it/728,2.0,0,0,"Drama, Romance",142 min
2022-12-30,The Godfather,1972,https://boxd.it/2aNK,4.0,0,1,"Crime, Drama",175 min
2022-12-30,Kill Bill: Vol. 1,2003,https://boxd.it/70w,5.0,0,1,"Action, Crime, Thriller",111 min
2022-12-30,Call Me by Your Name,2017,https://boxd.it/dYmm,4.0,0,1,"Drama, Romance",132 min
2022-12-30,Taxi Driver,1976,https://boxd.it/2b8y,3.0,0,0,"Crime, Drama",114 min
2022-12-30,Don't Look Up,2021,https://boxd.it/o0Hc,4.0,0,1,"Comedy, Drama, Sci-Fi",138 min
2022-12-30,Shutter Island,2010,https://boxd.it/1U82,5.0,0,1,"Drama, Mystery, Thriller",138 min
2022-12-30,Uncut Gems,2019,https://boxd.it/gXGc,5.0,0,1,"Crime, Drama, Thriller",135 min
2022-12-30,Blade Runner 2049,2017,https://boxd.it/b8wK,4.0,0,1,"Action, Drama, Mystery",164 min
2022-12-30,Soul,2020,https://boxd.it/ioLA,5.0,0,1,"Animation, Adventure, Comedy",100 min
2022-12-30,Coco,2017,https://boxd.it/bYJQ,4.0,0,1,"Animation, Adventure, Drama",105 min
2022-12-30,Ratatouille,2007,https://boxd.it/27ww,5.0,1,1,"Animation, Adventure, Comedy",111 min
2022-12-30,Star Wars,1977,https://boxd.it/72s,5.0,0,1,"Action, Adventure, Fantasy",121 min
2022-12-30,Deadpool,2016,https://boxd.it/9fOC,4.0,0,1,"Action, Comedy, Sci-Fi",108 min
2022-12-30,The Avengers,2012,https://boxd.it/1xFW,4.0,0,1,"Action, Sci-Fi",143 min
2022-12-30,Inside Out,2015,https://boxd.it/4KHC,4.0,0,1,"Animation, Adventure, Comedy",95 min
2022-12-30,Drive,2011,https://boxd.it/IG,4.0,0,1,"Action, Drama",100 min
2022-12-30,Back to the Future,1985,https://boxd.it/2b8e,4.0,0,1,"Adventure, Comedy, Sci-Fi",116 min
2022-12-30,GoodFellas,1990,https://boxd.it/29FA,5.0,0,1,"Biography, Crime, Drama",145 min
2022-12-30,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8,5.0,0,1,Drama,103 min
2022-12-30,Nightcrawler,2014,https://boxd.it/780m,3.0,0,0,"Crime, Drama, Thriller",117 min
2022-12-30,Up,2009,https://boxd.it/1OEc,5.0,0,1,"Animation, Adventure, Comedy",96 min
2022-12-30,The Empire Strikes Back,1980,https://boxd.it/27Vw,5.0,0,1,"Action, Adventure, Fantasy",124 min
2022-12-30,Tenet,2020,https://boxd.it/leq4,4.0,0,1,"Action, Sci-Fi, Thriller",150 min
2022-12-30,WALL·E,2008,https://boxd.it/1VEo,4.0,0,1,"Animation, Adventure, Family",98 min
2022-12-30,No Country for Old Men,2007,https://boxd.it/21ew,3.0,0,0,"Crime, Drama, Thriller",122 min
2022-12-30,Captain America: Civil War,2016,https://boxd.it/89Ja,5.0,0,1,"Action, Sci-Fi",147 min
2022-12-30,Star Wars: The Force Awakens,2015,https://boxd.it/4vru,3.0,0,0,News,108 min
2022-12-30,Iron Man,2008,https://boxd.it/28dA,4.0,0,1,"Action, Adventure, Sci-Fi",126 min
2022-12-30,Avatar,2009,https://boxd.it/1Efm,3.0,0,0,"Action, Adventure, Fantasy",162 min
2022-12-30,10 Things I Hate About You,1999,https://boxd.it/23AO,5.0,0,1,"Comedy, Drama, Romance",97 min
2022-12-30,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,4.0,0,1,"Action, Adventure, Sci-Fi",136 min
2022-12-30,The Breakfast Club,1985,https://boxd.it/27q4,4.0,0,1,"Comedy, Drama",97 min
2022-12-30,Jurassic Park,1993,https://boxd.it/2aA2,3.0,0,0,"Action, Adventure, Sci-Fi",127 min
2022-12-30,Spider-Man,2002,https://boxd.it/2a8i,4.0,0,1,"Action, Adventure, Sci-Fi",121 min
2022-12-30,Blade Runner,1982,https://boxd.it/2bcA,5.0,0,1,"Action, Drama, Sci-Fi",117 min
2022-12-30,Titanic,1997,https://boxd.it/2a2k,4.0,0,1,"Drama, Romance",194 min
2022-12-30,Zodiac,2007,https://boxd.it/27MO,4.0,0,1,"Crime, Drama, Mystery",157 min
2022-12-30,Toy Story,1995,https://boxd.it/29qA,4.0,0,1,"Animation, Adventure, Comedy",81 min
2022-12-30,Reservoir Dogs,1992,https://boxd.it/2agc,5.0,0,1,"Crime, Thriller",99 min
2022-12-30,The Incredibles,2004,https://boxd.it/1XLm,5.0,0,1,"Animation, Action, Adventure",115 min
2022-12-30,The Dark Knight Rises,2012,https://boxd.it/H3m,3.0,0,0,"Action, Drama, Thriller",164 min
2022-12-30,Star Wars: The Last Jedi,2017,https://boxd.it/5xme,4.0,0,1,"Short, Talk-Show",26 min
2022-12-30,Black Widow,2021,https://boxd.it/hWV8,1.0,0,0,"Action, Adventure, Sci-Fi",134 min
2022-12-30,Avengers: Age of Ultron,2015,https://boxd.it/3qi6,4.0,0,1,"Action, Adventure, Sci-Fi",141 min
2022-12-30,Finding Nemo,2003,https://boxd.it/72i,5.0,0,1,"Animation, Adventure, Comedy",100 min
2022-12-30,Spider-Man 2,2004,https://boxd.it/2a88,3.0,0,0,"Action, Adventure, Sci-Fi",127 min
2022-12-30,(500) Days of Summer,2009,https://boxd.it/1EmM,5.0,0,1,"Documentary, Short",30 min
2024-02-18,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,5.0,1,1,"Drama, Romance, Sci-Fi",108 min
2024-02-18,La La Land,2016,https://boxd.it/a5fa,5.0,1,1,"Comedy, Drama, Music",128 min
2024-02-18,Interstellar,2014,https://boxd.it/4VZ8,5.0,1,1,"Adventure, Drama, Sci-Fi",169 min
2024-02-18,Midsommar,2019,https://boxd.it/jhxe,4.0,0,1,"Drama, Horror, Mystery",148 min
2024-02-18,Se7en,1995,https://boxd.it/29zs,3.5,0,0,"Crime, Drama, Mystery",127 min
2024-02-18,Donnie Darko,2001,https://boxd.it/2b2A,5.0,1,1,"Drama, Mystery, Sci-Fi",113 min
2024-02-18,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,5.0,0,1,"Animation, Adventure, Comedy",87 min
2024-02-18,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,4.5,0,1,"Action, Comedy, Fantasy",112 min
2024-02-18,A Clockwork Orange,1971,https://boxd.it/2aVE,5.0,1,1,"Crime, Sci-Fi",136 min
2024-02-18,Memento,2000,https://boxd.it/2bcK,3.0,0,0,"Mystery, Thriller",113 min
2024-02-18,Little Miss Sunshine,2006,https://boxd.it/29EW,5.0,0,1,"Comedy, Drama",101 min
2024-02-18,My Neighbor Totoro,1988,https://boxd.it/20eA,3.5,0,0,"Animation, Comedy, Family",86 min
2024-02-18,American Beauty,1999,https://boxd.it/71Y,4.5,0,1,Drama,122 min
2024-02-18,Saltburn,2023,https://boxd.it/z4eg,3.5,1,0,"Drama, Thriller",131 min
2024-02-18,Heat,1995,https://boxd.it/2bg8,5.0,1,1,"Action, Crime, Drama",170 min
2024-02-26,Cinema Paradiso,1988,https://boxd.it/1UlA,5.0,1,1,"Drama, Romance",174 min
2024-03-03,The Great Gatsby,2013,https://boxd.it/JY,4.0,0,1,"Drama, Romance",143 min
2024-03-03,Pusher II,2004,https://boxd.it/1U7y,5.0,1,1,"Action, Crime, Drama",100 min
2024-03-11,Dune: Part Two,2024,https://boxd.it/pUfA,5.0,1,1,"Action, Adventure, Drama",166 min
2024-03-11,Her,2013,https://boxd.it/4O24,4.0,1,1,"Drama, Romance, Sci-Fi",126 min
2024-03-12,Normal People,2020,https://boxd.it/q2VY,4.5,1,1,"Drama, Romance",339 min
2024-03-12,Oppenheimer,2023,https://boxd.it/wUow,5.0,1,1,"Biography, Drama, History",180 min
2024-03-13,Natural Born Killers,1994,https://boxd.it/2aNg,4.0,1,1,"Crime, Romance",119 min
2024-03-17,From Dusk Till Dawn,1996,https://boxd.it/29HQ,3.5,1,0,"Action, Crime, Horror",108 min
2024-03-18,Dream Scenario,2023,https://boxd.it/v2h0,3.5,1,0,"Comedy, Drama, Fantasy",102 min
2024-03-19,Good Time,2017,https://boxd.it/fcFu,4.0,1,1,"Crime, Drama, Thriller",102 min
2024-03-19,Trainspotting,1996,https://boxd.it/29XY,5.0,1,1,Drama,93 min
2024-03-24,Ghost Dog: The Way of the Samurai,1999,https://boxd.it/23Ne,3.5,1,0,"Crime, Drama",116 min
2024-03-24,The Passenger,1975,https://boxd.it/1Y8q,4.0,0,1,"Drama, Thriller",126 min
2024-03-26,Swingers,1996,https://boxd.it/1WNc,4.5,1,1,"Comedy, Drama",96 min
2024-03-26,Ex Machina,2015,https://boxd.it/7T2k,4.0,1,1,"Documentary, Short",29 min
2024-03-26,Chinatown,1974,https://boxd.it/29vU,4.0,1,1,"Drama, Mystery, Thriller",130 min
2024-03-26,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA,4.0,1,1,Drama,133 min
2024-03-26,Raging Bull,1980,https://boxd.it/28yI,4.0,1,1,"Biography, Drama, Sport",129 min
2024-03-26,Tropic Thunder,2008,https://boxd.it/20WM,4.5,1,1,"Action, Comedy, War",107 min
2024-03-26,Psycho,1960,https://boxd.it/2ab2,3.5,1,0,"Horror, Mystery, Thriller",109 min
2024-03-26,Eyes Wide Shut,1999,https://boxd.it/2axs,4.0,1,1,"Drama, Mystery, Thriller",159 min
2024-03-26,Fallen Angels,1995,https://boxd.it/1UkW,3.5,1,0,"Comedy, Crime, Drama",99 min
2024-03-26,The Departed,2006,https://boxd.it/28MA,4.5,1,1,"Crime, Drama, Thriller",151 min
2024-03-26,Good Will Hunting,1997,https://boxd.it/2ahY,5.0,1,1,"Drama, Romance",126 min
2024-03-26,The Big Lebowski,1998,https://boxd.it/2b6C,4.0,1,1,"Comedy, Crime",117 min
2024-03-26,Fargo,1996,https://boxd.it/2aHM,4.0,1,1,"Crime, Drama, Thriller",98 min
2024-03-26,Kill Bill: Vol. 2,2004,https://boxd.it/2au4,5.0,1,1,"Action, Crime, Thriller",137 min
2024-03-26,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/1RYk,4.0,1,1,"Adventure, Family, Fantasy",130 min
2024-03-26,The Hangover,2009,https://boxd.it/1GjK,4.0,1,1,Comedy,100 min
2024-03-26,Hacksaw Ridge,2016,https://boxd.it/azew,3.5,1,0,"Biography, Drama, History",139 min
2024-03-26,Forgetting Sarah Marshall,2008,https://boxd.it/1XEq,3.5,1,0,"Comedy, Drama, Romance",111 min
2024-03-26,Jackie Brown,1997,https://boxd.it/2aVO,3.5,1,0,"Crime, Drama, Thriller",154 min
2024-03-26,Death Proof,2007,https://boxd.it/27GG,4.0,1,1,"Drama, Thriller",127 min
2024-03-26,Mysterious Skin,2004,https://boxd.it/1UsG,3.0,0,0,Drama,105 min
2024-03-26,The Notebook,2004,https://boxd.it/1UNE,3.0,0,0,"Drama, Romance",123 min
2024-03-26,Black Swan,2010,https://boxd.it/Sw0,4.5,1,1,"Drama, Thriller",108 min
2024-03-26,Casino,1995,https://boxd.it/2ads,4.0,1,1,"Crime, Drama",178 min
2024-03-27,Road House,2024,https://boxd.it/cdzQ,2.5,0,0,"Action, Drama, Thriller",121 min
2024-03-27,School of Rock,2003,https://boxd.it/28xK,5.0,1,1,"Comedy, Music",109 min
2024-03-28,Surf's Up,2007,https://boxd.it/1YKY,5.0,1,1,"Animation, Adventure, Comedy",85 min
2024-03-28,Sound of Metal,2019,https://boxd.it/i7Q4,4.5,1,1,"Drama, Music",120 min
2024-04-03,Beautiful Boy,2018,https://boxd.it/g76Q,4.5,1,1,"Biography, Drama",120 min
2024-04-08,The Disaster Artist,2017,https://boxd.it/cTqc,3.5,1,0,"Biography, Comedy, Drama",104 min
2024-04-21,Disturbia,2007,https://boxd.it/20rk,3.0,0,0,"Crime, Drama, Mystery",105 min
2024-04-23,Honey Boy,2019,https://boxd.it/ixvm,4.0,1,1,Drama,94 min
2024-04-27,Challengers,2024,https://boxd.it/zld0,4.0,1,1,"Comedy, Drama, Romance",131 min
2024-04-27,Baby Reindeer,2024,https://boxd.it/MwSa,3.0,0,0,"Biography, Drama",N/A
2024-04-28,Anyone But You,2023,https://boxd.it/EzA8,2.0,0,0,"Comedy, Romance",103 min
2024-04-29,Ronin,1998,https://boxd.it/20wa,3.5,1,0,"Action, Crime, Thriller",122 min
2024-05-07,Mr. & Mrs. Smith,2005,https://boxd.it/29CG,3.5,1,0,"Action, Comedy, Crime",120 min
2024-05-13,The Iron Claw,2023,https://boxd.it/w5Pm,4.0,1,1,"Biography, Drama, Sport",132 min
2024-05-25,The Peanut Butter Falcon,2019,https://boxd.it/gzu2,5.0,1,1,"Adventure, Comedy, Drama",97 min
2024-06-01,The Worst Person in the World,2021,https://boxd.it/oyws,2.0,0,0,"Comedy, Drama, Romance",128 min
2024-06-17,Spring Breakers,2012,https://boxd.it/421s,2.0,0,0,"Crime, Drama, Thriller",94 min
2024-06-17,Enter the Void,2009,https://boxd.it/1dy2,4.0,1,1,"Drama, Fantasy",161 min
2024-06-17,Hit Man,2023,https://boxd.it/ANB2,4.0,1,1,"Comedy, Crime, Romance",115 min
2024-07-09,Before Sunrise,1995,https://boxd.it/2bcU,5.0,1,1,"Drama, Romance",101 min
2024-07-11,"Paris, Texas",1984,https://boxd.it/29Ts,4.0,1,1,Drama,145 min
2024-07-27,Zombieland,2009,https://boxd.it/1En6,4.0,1,1,"Action, Comedy, Horror",88 min
2024-09-17,Crash,1996,https://boxd.it/29n2,3.0,1,0,Drama,100 min
2024-09-25,Civil War,2024,https://boxd.it/z1jW,3.0,1,0,"Action, Thriller",109 min
2024-09-28,A Moment of Romance,1990,https://boxd.it/2PLU,4.0,1,1,"Action, Crime, Drama",92 min
2024-10-04,The Devil Wears Prada,2006,https://boxd.it/2awE,3.5,1,0,"Comedy, Drama",109 min
2024-10-08,The Girl Next Door,2004,https://boxd.it/1VSq,4.0,1,1,"Comedy, Drama, Romance",109 min
2024-10-11,Jarhead,2005,https://boxd.it/70m,3.5,1,0,"Biography, Drama, War",125 min
2024-10-17,Control,2007,https://boxd.it/22IC,4.0,1,1,"Biography, Drama, Music",122 min
2024-10-22,Wayne's World,1992,https://boxd.it/1ZHG,5.0,1,1,"Comedy, Music",94 min
2024-10-23,Pretty Woman,1990,https://boxd.it/2b6M,4.0,1,1,"Comedy, Romance",119 min
2024-10-26,Zoolander,2001,https://boxd.it/1YMA,4.0,1,1,Comedy,90 min
2024-11-10,Anora,2024,https://boxd.it/Egcw,3.5,1,0,"Comedy, Drama, Romance",139 min
2024-11-14,The Penguin,2024,https://boxd.it/QkIU,4.5,1,1,"Crime, Drama",N/A
2024-11-24,"O Brother, Where Art Thou?",2000,https://boxd.it/2b3I,4.5,1,1,"Comedy, Crime, Drama",107 min
2024-11-24,Dead Poets Society,1989,https://boxd.it/2aSg,5.0,1,1,"Comedy, Drama",128 min
2024-11-26,Jennifer's Body,2009,https://boxd.it/1Efw,2.5,0,0,"Comedy, Horror",102 min
2024-11-27,White Men Can't Jump,1992,https://boxd.it/1WWy,3.0,1,0,"Comedy, Sport",115 min
2024-12-14,Midnight in Paris,2011,https://boxd.it/i4a,2.0,1,0,"Comedy, Fantasy, Romance",94 min
2024-12-14,Persona,1966,https://boxd.it/29B4,3.5,1,0,"Drama, Thriller",83 min
2024-12-16,Gladiator,2000,https://boxd.it/2b9m,5.0,1,1,"Action, Adventure, Drama",155 min
2024-12-18,Carol,2015,https://boxd.it/7DPK,4.0,1,1,"Drama, Romance",118 min
2024-12-19,The Holdovers,2023,https://boxd.it/vHza,4.0,1,1,"Comedy, Drama",133 min
2024-12-19,Aftersun,2022,https://boxd.it/Arw0,2.0,0,0,Drama,102 min
2024-12-20,Anchorman: The Legend of Ron Burgundy,2004,https://boxd.it/1ZVo,4.0,1,1,Comedy,94 min
2024-12-20,The Dirt,2019,https://boxd.it/aGN4,3.5,1,0,"Biography, Comedy, Drama",107 min
2024-12-20,Waves,2019,https://boxd.it/jpmy,5.0,1,1,"Drama, Romance, Sport",135 min
2024-12-20,Burning,2018,https://boxd.it/hHUa,2.5,0,0,"Drama, Mystery",148 min
2024-12-22,Molly's Game,2017,https://boxd.it/dSl8,3.5,1,0,"Biography, Crime, Drama",140 min
2024-12-23,Phantom Thread,2017,https://boxd.it/e4uc,3.0,1,0,"Drama, Romance",130 min
2024-12-25,Rounders,1998,https://boxd.it/1WMS,3.5,1,0,"Crime, Drama",121 min
2024-12-25,Before Midnight,2013,https://boxd.it/4ive,3.0,1,0,"Drama, Romance",109 min
2024-12-25,Before Sunset,2004,https://boxd.it/2bcg,5.0,1,1,"Drama, Romance",80 min
2024-12-28,Knight of Cups,2015,https://boxd.it/34Qq,2.5,0,0,"Drama, Fantasy, Romance",118 min
2025-01-04,All Quiet on the Western Front,2022,https://boxd.it/H08,4.0,1,1,"Drama, History, War",148 min
2025-01-06,Inception,2010,https://boxd.it/1skk,4.0,1,1,"Action, Adventure, Sci-Fi",148 min
2025-01-07,Notting Hill,1999,https://boxd.it/2aeK,2.5,0,0,"Comedy, Drama, Romance",124 min
2025-01-08,Due Date,2010,https://boxd.it/YFs,4.0,1,1,"Comedy, Drama",95 min
2025-01-09,Dallas Buyers Club,2013,https://boxd.it/4O8G,4.0,1,1,"Biography, Drama",117 min
2025-01-10,Y Tu Mamá También,2001,https://boxd.it/28QM,4.0,1,1,Drama,106 min
2025-02-22,Miss Congeniality,2000,https://boxd.it/28GM,4.0,1,1,"Action, Comedy, Crime",109 min
2025-02-23,Taken,2008,https://boxd.it/1ZXa,3.5,1,0,"Action, Crime, Thriller",90 min
2025-02-27,Companion,2025,https://boxd.it/F04o,3.0,1,0,"Sci-Fi, Thriller",97 min
2025-03-11,Brokeback Mountain,2005,https://boxd.it/2b2q,4.0,1,1,"Drama, Romance",134 min
2025-03-16,One Day,2024,https://boxd.it/L1ZM,4.0,1,1,"Comedy, Drama, Romance",N/A
2025-03-16,Sicario,2015,https://boxd.it/8i7u,4.0,1,1,"Action, Crime, Drama",121 min
2025-03-22,Porky's,1981,https://boxd.it/1WJa,2.5,1,0,Comedy,94 min
2025-03-23,Priscilla,2023,https://boxd.it/Cz3k,3.0,0,0,"Biography, Drama, Music",113 min
2025-03-23,Belle de Jour,1967,https://boxd.it/29Uq,2.5,0,0,"Drama, Romance",100 min
2025-03-24,A Knight's Tale,2001,https://boxd.it/1YAk,4.5,1,1,"Action, Adventure, Romance",132 min
2025-03-29,Adolescence,2025,https://boxd.it/TFGw,4.5,1,1,"Crime, Drama, Thriller",N/A
2025-04-04,The Ultimate Gift,2006,https://boxd.it/1NIi,2.0,0,0,"Drama, Family, Romance",114 min
2025-04-06,Meet Joe Black,1998,https://boxd.it/2aEI,3.5,1,0,"Drama, Fantasy, Romance",178 min
2025-04-14,Gone Girl,2014,https://boxd.it/6hQu,3.5,0,0,"Drama, Mystery, Thriller",149 min
2025-04-20,Warfare,2025,https://boxd.it/LbRo,4.0,1,1,"Action, Drama, War",95 min
2025-04-20,A Complete Unknown,2024,https://boxd.it/oBYa,3.0,1,0,"Biography, Drama, Music",141 min
2025-04-21,Arrival,2016,https://boxd.it/aNGk,5.0,1,1,"Drama, Mystery, Sci-Fi",116 min
